Product,711_SLIN,Dollar Sales,Unit Sales,711_UPC,UPC 13,UPC 10,Custom US Category,Custom US Sub Category,Custom US National Brand or Private Label,Custom US Manufacturer,Custom US Trademark,Custom US Flavor Bucket,Custom US Flavor,Custom US Price Tier,Custom US Take Home or Single Serve
00028400713092-SMPYSMRTFDSSXXVL1.6Z,303931,3747,1510,28400713092,28400713091,2840071309,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SIMPLY,REGULAR/CLASSIC/UNFLAVORED,REGULAR,PERMISSIBLE,SINGLE SERVE
00028400705639-BAKEN-ETS HTNSPCY 4Z,300564,3679,1385,28400705639,28400705631,2840070563,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,MEAT,HOT SPICY,NON-PERMISSIBLE,TAKE HOME
00028400324410-RUFFLES SC&O 2.5Z,307869,3277,1382,28400324410,28400324411,2840032441,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,DAIRY,SOUR CREAM AND ONION,NON-PERMISSIBLE,SINGLE SERVE
00028400184779-FLBKDCDRSRCMCRS6.25Z,302552,3275,807,28400184779,28400184772,2840018477,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,BAKED,CHEESE,CHEDDAR SOUR CREAM,PERMISSIBLE,TAKE HOME
00028400516440-DORITOS FLHTNCH9.25Z,301636,3089,518,28400516440,28400516441,2840051644,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,FLAMIN' HOT NACHO,NON-PERMISSIBLE,TAKE HOME
00028400589871-CHTSCRCHXFLMHT8.5Z,303402,2979,552,28400589871,28400589871,2840058987,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,HOT/SPICY,XXTRA FLAMIN' HOT,NON-PERMISSIBLE,TAKE HOME
00028400705615-BAKEN-ETS ORIG 4Z,300559,2656,998,28400705615,28400705611,2840070561,SALTY SNACKS,PORK RINDS,NATIONAL BRAND,FRITO LAY,BAKEN ETS,MEAT,TRADITIONAL,NON-PERMISSIBLE,TAKE HOME
00028400689458-CHEETOS BKDFHL 2.75Z,305066,2623,1063,28400689458,28400689451,2840068945,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,BAKED,HOT/SPICY,FLAMIN' HOT LIMON,PERMISSIBLE,SINGLE SERVE
00810607020697-POPCORNERS WHTCHDR7Z,302110,2481,551,8.11E+11,8.11E+11,1060702069,SALTY SNACKS,ALL OTHER SALTY SNACK,NATIONAL BRAND,FRITO LAY,POPCORNERS,CHEESE,WHITE CHEDDAR,PERMISSIBLE,TAKE HOME
00028400201292-LAYS STHHEATBBQ7.75Z,304761,2436,511,28400201292,28400201292,2840020129,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,BBQ,SWEET SOUTHERN HEAT BARBEQUE,NON-PERMISSIBLE,TAKE HOME
00028400705738-CHSTRSPFFCRNBTR3.25Z,300562,2206,833,28400705738,28400705731,2840070573,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHESTERS,DAIRY,BUTTER,NON-PERMISSIBLE,TAKE HOME
