Geography,Retailer Store Number,Banner Name,TDLinx,Speedway Store ID ,Street Address,City,State Code,County,ZIP Code,Latitude,Longitude,DXID
45210 3612 BROADWAY GROVE CITY OH 43123,45210,Speedway ,445169,1158,3612 BROADWAY            ,GROVE CITY,OH,FRANKLIN              ,43123,39.8901,-83.0865,99C3J6B
46735 3104 ROOSEVELT BOULEVARD MIDDLETOWN OH 45044,46735,Speedway ,445237,5276,3104 ROOSEVELT BOULEVARD ,MIDDLETOWN,OH,BUTLER                ,45044,39.50091,-84.37445,99ASK9G
45458 6562 MANCHESTER ROAD MIDDLETOWN OH 45042,45458,Speedway ,311136,6336,6562 MANCHESTER ROAD     ,MIDDLETOWN,OH,BUTLER                ,45042,39.5245,-84.3255,999BPMB
45392 5575 BIGGER ROAD KETTERING OH 45440,45392,Speedway ,445192,5091,5575 BIGGER ROAD         ,KETTERING,OH,MONTGOMERY            ,45440,39.6614,-84.1272,999QSSF
47200 9850 CINCINNATI COLUMBUS CINCINNATI OH 45241,47200,Speedway ,446296,9781,9850 CINCINNATI COLUMBUS ,CINCINNATI,OH,HAMILTON              ,45241,39.3058,-84.3858,999EXFL
45545 807 WASHINGTON BOULEVARD BELPRE OH 45714,45545,Speedway ,151357,9260,807 WASHINGTON BOULEVARD ,BELPRE,OH,WASHINGTON            ,45714,39.2733,-81.5793,999BPHK
45288 806 WEST LIBERTY STREET HUBBARD OH 44425,45288,Speedway ,151413,3377,806 WEST LIBERTY STREET  ,HUBBARD,OH,TRUMBULL              ,44425,41.1565,-80.5825,999QPU1
45188 3201 WILMINGTON PIKE KETTERING OH 45429,45188,Speedway ,445193,1036,3201 WILMINGTON PIKE     ,KETTERING,OH,MONTGOMERY            ,45429,39.6995,-84.1419,99AQOB3
45455 1260 WEST HIGH AVENUE NEW PHILADELPHIA OH 44663,45455,Speedway ,626263,6246,1260 WEST HIGH AVENUE    ,NEW PHILADELPHIA,OH,TUSCARAWAS            ,44663,40.4929,-81.4732,99B1N3X
45310 649 EAST MIDLOTHIAN BLVD YOUNGSTOWN OH 44502,45310,Speedway ,442704,3540,649 EAST MIDLOTHIAN BLVD ,YOUNGSTOWN,OH,MAHONING              ,44502,41.0607,-80.6425,999DR0N
